"ID","sector_empresa","genero","experiencia_empresa","estudios","valoracion_empresa_2018","valoracion_empresa_2019","valoracion_empresa_2020","Abandonar empresa","problema_trabajo","problema_relaciones","horas_extra_2018","horas_extra_2020","compentencia","autoestima","autoeficacia","ansiedad","satisfaccion","optimismo","estres","expectativas_2018","expectativas_2020"
"78",1,2,3,1,3.0,2.0,3.0,2,2,1,2,1,2.0,4.0,5.0,7.0,5.0,4.0,3,4.0,3.0
"79",1,2,2,2,2.0,2.0,2.0,2,2,1,2,1,6.0,3.0,9.0,5.0,9.0,3.0,3,6.0,6.0
"80",1,1,3,2,1.0,1.0,1.0,3,1,1,1,1,6.0,3.0,9.0,4.0,9.0,4.0,1,7.0,7.0
"81",1,1,3,2,2.0,1.0,2.0,3,2,2,2,1,4.0,4.0,7.0,6.0,8.0,2.0,3,0.0,1.0
"82",1,1,3,1,2.0,2.0,2.0,3,2,1,2,2,6.0,3.0,9.0,4.0,9.0,4.0,1,8.0,7.0
"83",1,1,3,2,3.0,4.0,4.0,0,2,1,1,2,1.0,3.0,8.0,10.0,8.0,3.0,3,2.0,3.0
"84",1,2,2,1,2.0,1.0,2.0,2,2,2,1,1,5.0,4.0,7.0,6.0,7.0,3.0,2,5.0,4.0
"85",1,1,1,1,1.0,1.0,1.0,4,1,1,1,1,5.0,4.0,8.0,4.0,7.0,4.0,2,5.0,5.0
"86",1,2,1,1,2.0,2.0,2.0,2,2,1,2,1,4.0,5.0,8.0,5.0,7.0,4.0,2,3.0,4.0
"87",1,1,2,1,2.0,3.0,4.0,1,2,1,2,2,5.0,3.0,6.0,6.0,7.0,4.0,2,5.0,4.0
"88",1,2,2,3,2.0,2.0,2.0,2,2,1,2,1,4.0,3.0,8.0,5.0,7.0,2.0,2,3.0,3.0
"89",1,2,1,1,2.0,2.0,3.0,1,1,1,1,2,5.0,3.0,6.0,6.0,7.0,4.0,2,2.0,2.0
"90",1,2,2,1,1.0,1.0,1.0,3,1,2,1,1,5.0,3.0,10.0,4.0,10.0,3.0,2,5.0,6.0
"91",1,1,3,1,1.0,3.0,3.0,2,1,1,1,1,6.0,2.0,8.0,6.0,8.0,3.0,3,3.0,3.0
"92",1,2,2,1,4.0,4.0,3.0,2,1,2,1,1,3.0,4.0,7.0,9.0,6.0,3.0,3,0.0,0.0
"93",1,2,1,1,1.0,3.0,2.0,3,1,2,1,1,6.0,4.0,9.0,4.0,9.0,2.0,1,6.0,5.0
"94",1,2,3,1,1.0,1.0,3.0,1,1,2,1,1,3.0,4.0,8.0,4.0,8.0,4.0,2,7.0,6.0
"95",1,2,4,1,2.0,1.0,2.0,3,1,2,1,1,6.0,4.0,8.0,5.0,8.0,3.0,2,6.0,5.0
"96",1,2,4,1,3.0,3.0,3.0,2,2,2,1,1,1.0,4.0,9.0,7.0,7.0,4.0,3,2.0,3.0
"97",1,1,3,2,2.0,2.0,1.0,4,1,1,1,1,5.0,5.0,7.0,5.0,7.0,4.0,2,3.0,4.0
"98",1,1,1,1,1.0,1.0,1.0,4,1,1,1,1,5.0,5.0,9.0,3.0,9.0,4.0,1,6.0,7.0
"99",1,2,2,2,3.0,3.0,2.0,3,1,1,2,2,5.0,3.0,8.0,5.0,8.0,4.0,3,2.0,3.0
"100",1,1,2,2,1.0,2.0,2.0,2,1,1,1,1,6.0,4.0,9.0,3.0,9.0,5.0,1,7.0,7.0
"101",1,2,4,1,1.0,2.0,3.0,1,1,1,2,2,3.0,5.0,9.0,4.0,9.0,5.0,1,6.0,7.0
"102",1,1,1,1,3.0,1.0,3.0,1,1,2,2,2,5.0,4.0,7.0,8.0,5.0,3.0,3,2.0,2.0
"103",1,1,3,2,2.0,1.0,2.0,2,1,1,2,2,5.0,4.0,8.0,4.0,8.0,4.0,2,5.0,5.0
"104",1,1,2,1,2.0,1.0,1.0,3,1,2,1,1,3.0,4.0,7.0,5.0,7.0,2.0,3,4.0,4.0
"105",1,2,2,2,2.0,1.0,2.0,2,2,1,2,1,2.0,4.0,4.0,5.0,5.0,4.0,2,6.0,5.0
"106",1,1,2,3,2.0,2.0,2.0,3,2,1,2,2,5.0,3.0,9.0,4.0,9.0,4.0,1,4.0,5.0
"107",1,2,2,1,1.0,1.0,2.0,2,1,1,1,1,5.0,4.0,8.0,3.0,8.0,4.0,1,6.0,6.0
"108",1,2,2,2,3.0,3.0,3.0,2,2,1,1,2,5.0,4.0,7.0,8.0,7.0,2.0,3,2.0,1.0
"109",1,2,4,1,1.0,2.0,2.0,3,1,1,2,2,6.0,4.0,8.0,5.0,7.0,3.0,2,6.0,5.0
"110",1,1,3,1,1.0,1.0,1.0,4,1,1,1,1,5.0,4.0,8.0,4.0,9.0,5.0,2,9.0,9.0
"111",1,2,4,1,2.0,3.0,4.0,0,2,1,1,1,5.0,4.0,10.0,6.0,10.0,4.0,2,5.0,5.0
"112",1,2,4,1,2.0,2.0,2.0,2,1,2,1,2,6.0,4.0,9.0,5.0,7.0,4.0,2,6.0,6.0
"113",1,1,3,2,2.0,4.0,1.0,4,1,1,1,1,6.0,3.0,9.0,6.0,9.0,5.0,2,6.0,7.0
"114",1,1,2,2,1.0,1.0,2.0,3,1,1,1,1,6.0,4.0,9.0,3.0,9.0,4.0,1,7.0,7.0
"115",1,2,2,1,2.0,1.0,3.0,1,2,1,1,2,1.0,3.0,8.0,6.0,8.0,4.0,2,1.0,3.0
"116",1,1,1,1,2.0,2.0,1.0,4,1,1,2,2,5.0,4.0,7.0,5.0,7.0,3.0,2,1.0,3.0
